#,Date,Airport,Business Jet,Business Aviation,Departures,Arrivals,Total Operations,Departure Seats,Average Departure Seats,Arrival Seats,Average Arrival Seats
1,01/2011,ATL - Atlanta,No,No,"35,227","35,273","70,500","4,443,105",126,"4,454,470",126
2,01/2011,ATL - Atlanta,No,Yes,244,223,467,"3,010",12,"2,724",12
Sub-Total for No,,,,,"35,471","35,496","70,967","4,446,115",125,"4,457,194",125
3,01/2011,ATL - Atlanta,Yes,Yes,251,246,497,"2,461",9,"2,418",9
Sub-Total for Yes,,,,,495,469,964,"5,471",11,"5,142",10
Sub-Total for ATL - Atlanta,,,,,"35,722","35,742","71,464","4,448,576",124,"4,459,612",124
4,01/2011,BOS - Boston,No,No,"11,606","11,563","23,169","1,385,857",119,"1,385,261",119
5,01/2011,BOS - Boston,No,Yes,"1,069",786,"1,855","5,031",4,"3,867",4
Sub-Total for No,,,,,"12,675","12,349","25,024","1,390,888",109,"1,389,128",112
6,01/2011,BOS - Boston,Yes,Yes,553,580,"1,133","6,034",10,"6,300",10
Sub-Total for Yes,,,,,"1,622","1,366","2,988","11,065",6,"10,167",7
Sub-Total for BOS - Boston,,,,,"13,228","12,929","26,157","1,396,922",105,"1,395,428",107
7,01/2011,CLT - Charlotte,No,No,"20,223","20,204","40,427","1,998,150",98,"1,995,967",98
8,01/2011,CLT - Charlotte,No,Yes,329,334,663,"2,168",6,"2,211",6
Sub-Total for No,,,,,"20,552","20,538","41,090","2,000,318",97,"1,998,178",97
9,01/2011,CLT - Charlotte,Yes,Yes,685,685,"1,370","7,239",10,"7,194",10
Sub-Total for Yes,,,,,"1,014","1,019","2,033","9,407",9,"9,405",9
Sub-Total for CLT - Charlotte,,,,,"21,237","21,223","42,460","2,007,557",94,"2,005,372",94
10,01/2011,DEN - Denver,No,No,"25,721","25,708","51,429","2,608,557",101,"2,607,353",101
11,01/2011,DEN - Denver,No,Yes,168,155,323,"1,250",7,"1,175",7
Sub-Total for No,,,,,"25,889","25,863","51,752","2,609,807",100,"2,608,528",100
12,01/2011,DEN - Denver,Yes,Yes,188,166,354,"1,998",10,"1,788",10
Sub-Total for Yes,,,,,356,321,677,"3,248",9,"2,963",9
Sub-Total for DEN - Denver,,,,,"26,077","26,029","52,106","2,611,805",100,"2,610,316",100
13,01/2011,DFW - Dallas/Ft. Worth,No,No,"26,582","26,525","53,107","3,171,242",119,"3,165,011",119
14,01/2011,DFW - Dallas/Ft. Worth,No,Yes,182,149,331,"2,110",11,"1,709",11
Sub-Total for No,,,,,"26,764","26,674","53,438","3,173,352",118,"3,166,720",118
15,01/2011,DFW - Dallas/Ft. Worth,Yes,Yes,183,185,368,"1,932",10,"1,927",10
Sub-Total for Yes,,,,,365,334,699,"4,042",11,"3,636",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"26,947","26,859","53,806","3,175,284",117,"3,168,647",117
16,01/2011,DTW - Detroit,No,No,"17,358","17,313","34,671","1,674,384",96,"1,674,401",96
17,01/2011,DTW - Detroit,No,Yes,67,70,137,416,6,439,6
Sub-Total for No,,,,,"17,425","17,383","34,808","1,674,800",96,"1,674,840",96
18,01/2011,DTW - Detroit,Yes,Yes,289,285,574,"3,127",10,"3,089",10
Sub-Total for Yes,,,,,356,355,711,"3,543",9,"3,528",9
Sub-Total for DTW - Detroit,,,,,"17,714","17,668","35,382","1,677,927",94,"1,677,929",94
19,01/2011,EWR - Newark,No,No,"15,005","15,004","30,009","1,783,110",118,"1,788,102",119
20,01/2011,EWR - Newark,No,Yes,177,176,353,"1,657",9,"1,687",9
Sub-Total for No,,,,,"15,182","15,180","30,362","1,784,767",117,"1,789,789",117
21,01/2011,EWR - Newark,Yes,Yes,181,185,366,"2,106",11,"2,154",11
Sub-Total for Yes,,,,,358,361,719,"3,763",10,"3,841",10
Sub-Total for EWR - Newark,,,,,"15,363","15,365","30,728","1,786,873",116,"1,791,943",116
22,01/2011,IAH - Houston,No,No,"21,330","21,201","42,531","2,189,748",102,"2,171,924",102
23,01/2011,IAH - Houston,No,Yes,195,133,328,"1,564",8,"1,213",9
Sub-Total for No,,,,,"21,525","21,334","42,859","2,191,312",101,"2,173,137",101
24,01/2011,IAH - Houston,Yes,Yes,475,487,962,"5,202",10,"5,341",10
Sub-Total for Yes,,,,,670,620,"1,290","6,766",10,"6,554",10
Sub-Total for IAH - Houston,,,,,"22,000","21,821","43,821","2,196,514",99,"2,178,478",99
25,01/2011,JFK - New York,No,No,"15,628","15,661","31,289","2,589,825",165,"2,593,621",165
26,01/2011,JFK - New York,No,Yes,21,27,48,170,8,204,7
Sub-Total for No,,,,,"15,649","15,688","31,337","2,589,995",165,"2,593,825",165
27,01/2011,JFK - New York,Yes,Yes,217,216,433,"2,372",10,"2,341",10
Sub-Total for Yes,,,,,238,243,481,"2,542",10,"2,545",10
Sub-Total for JFK - New York,,,,,"15,866","15,904","31,770","2,592,367",163,"2,596,166",163
28,01/2011,LAS - Las Vegas,No,No,"14,421","14,421","28,842","1,995,714",138,"1,994,919",138
29,01/2011,LAS - Las Vegas,No,Yes,410,411,821,"3,071",7,"3,048",7
Sub-Total for No,,,,,"14,831","14,832","29,663","1,998,785",134,"1,997,967",134
30,01/2011,LAS - Las Vegas,Yes,Yes,"2,327","2,246","4,573","24,768",10,"23,920",10
Sub-Total for Yes,,,,,"2,737","2,657","5,394","27,839",10,"26,968",10
Sub-Total for LAS - Las Vegas,,,,,"17,158","17,078","34,236","2,023,553",117,"2,021,887",118
31,01/2011,LAX - Los Angeles,No,No,"22,725","22,667","45,392","3,285,025",144,"3,278,014",144
32,01/2011,LAX - Los Angeles,No,Yes,64,62,126,524,8,484,7
Sub-Total for No,,,,,"22,789","22,729","45,518","3,285,549",144,"3,278,498",144
33,01/2011,LAX - Los Angeles,Yes,Yes,874,864,"1,738","10,237",11,"10,180",11
Sub-Total for Yes,,,,,938,926,"1,864","10,761",11,"10,664",11
Sub-Total for LAX - Los Angeles,,,,,"23,663","23,593","47,256","3,295,786",139,"3,288,678",139
34,01/2011,LGA - New York,No,No,"14,034","14,053","28,087","1,329,967",94,"1,331,200",94
35,01/2011,LGA - New York,No,Yes,24,27,51,194,8,206,7
Sub-Total for No,,,,,"14,058","14,080","28,138","1,330,161",94,"1,331,406",94
36,01/2011,LGA - New York,Yes,Yes,281,286,567,"3,295",11,"3,349",11
Sub-Total for Yes,,,,,305,313,618,"3,489",11,"3,555",11
Sub-Total for LGA - New York,,,,,"14,339","14,366","28,705","1,333,456",92,"1,334,755",92
37,01/2011,MCO - Orlando,No,No,"12,551","12,566","25,117","1,809,475",144,"1,810,596",144
38,01/2011,MCO - Orlando,No,Yes,212,214,426,"1,073",5,"1,065",4
Sub-Total for No,,,,,"12,763","12,780","25,543","1,810,548",141,"1,811,661",141
39,01/2011,MCO - Orlando,Yes,Yes,727,746,"1,473","7,692",10,"7,807",10
Sub-Total for Yes,,,,,939,960,"1,899","8,765",9,"8,872",9
Sub-Total for MCO - Orlando,,,,,"13,490","13,526","27,016","1,818,240",134,"1,819,468",134
40,01/2011,MIA - Miami,No,No,"15,755","15,790","31,545","2,470,756",156,"2,484,615",157
41,01/2011,MIA - Miami,No,Yes,200,203,403,"1,367",6,"1,447",7
Sub-Total for No,,,,,"15,955","15,993","31,948","2,472,123",154,"2,486,062",155
42,01/2011,MIA - Miami,Yes,Yes,"1,276","1,290","2,566","14,031",10,"14,086",10
Sub-Total for Yes,,,,,"1,476","1,493","2,969","15,398",10,"15,533",10
Sub-Total for MIA - Miami,,,,,"17,231","17,283","34,514","2,486,154",144,"2,500,148",144
43,01/2011,MSP - Minneapolis,No,No,"16,762","16,755","33,517","1,652,014",98,"1,651,887",98
44,01/2011,MSP - Minneapolis,No,Yes,222,236,458,"1,070",4,"1,136",4
Sub-Total for No,,,,,"16,984","16,991","33,975","1,653,084",97,"1,653,023",97
45,01/2011,MSP - Minneapolis,Yes,Yes,567,567,"1,134","6,346",11,"6,342",11
Sub-Total for Yes,,,,,789,803,"1,592","7,416",9,"7,478",9
Sub-Total for MSP - Minneapolis,,,,,"17,551","17,558","35,109","1,659,430",94,"1,659,365",94
46,01/2011,ORD - Chicago,No,No,"34,715","34,703","69,418","3,599,378",103,"3,598,049",103
47,01/2011,ORD - Chicago,No,Yes,162,164,326,"1,944",12,"1,987",12
Sub-Total for No,,,,,"34,877","34,867","69,744","3,601,322",103,"3,600,036",103
48,01/2011,ORD - Chicago,Yes,Yes,255,257,512,"2,745",10,"2,761",10
Sub-Total for Yes,,,,,417,421,838,"4,689",11,"4,748",11
Sub-Total for ORD - Chicago,,,,,"35,132","35,124","70,256","3,604,067",102,"3,602,797",102
49,01/2011,PHL - Philadelphia,No,No,"16,846","16,854","33,700","1,585,929",94,"1,588,703",94
50,01/2011,PHL - Philadelphia,No,Yes,159,155,314,"1,029",6,998,6
Sub-Total for No,,,,,"17,005","17,009","34,014","1,586,958",93,"1,589,701",93
51,01/2011,PHL - Philadelphia,Yes,Yes,604,609,"1,213","6,647",11,"6,740",11
Sub-Total for Yes,,,,,763,764,"1,527","7,676",10,"7,738",10
Sub-Total for PHL - Philadelphia,,,,,"17,609","17,618","35,227","1,593,605",90,"1,596,441",90
52,01/2011,PHX - Phoenix,Unknown,Unknown,2,0,2,4,2,0,0
53,01/2011,PHX - Phoenix,No,No,"18,003","17,688","35,691","2,204,293",122,"2,199,396",124
54,01/2011,PHX - Phoenix,No,Yes,627,437,"1,064","2,788",4,"1,713",3
Sub-Total for No,,,,,"18,630","18,125","36,755","2,207,081",118,"2,201,109",121
55,01/2011,PHX - Phoenix,Yes,Yes,778,756,"1,534","7,899",10,"7,702",10
Sub-Total for Yes,,,,,"1,405","1,193","2,598","10,687",7,"9,415",7
Sub-Total for PHX - Phoenix,,,,,"19,410","18,881","38,291","2,214,984",114,"2,208,811",116
56,01/2011,SEA - Seattle,No,No,"11,995","11,982","23,977","1,543,204",128,"1,539,517",128
57,01/2011,SEA - Seattle,No,Yes,101,113,214,59,0,58,0
Sub-Total for No,,,,,"12,096","12,095","24,191","1,543,263",127,"1,539,575",127
58,01/2011,SEA - Seattle,Yes,Yes,50,51,101,555,11,572,11
Sub-Total for Yes,,,,,151,164,315,614,4,630,3
Sub-Total for SEA - Seattle,,,,,"12,146","12,146","24,292","1,543,818",127,"1,540,147",126
59,01/2011,SFO - San Francisco,No,No,"14,650","14,605","29,255","2,037,338",139,"2,025,501",138
60,01/2011,SFO - San Francisco,No,Yes,134,128,262,976,7,925,7
Sub-Total for No,,,,,"14,784","14,733","29,517","2,038,314",137,"2,026,426",137
61,01/2011,SFO - San Francisco,Yes,Yes,881,908,"1,789","10,028",11,"10,367",11
Sub-Total for Yes,,,,,"1,015","1,036","2,051","11,004",10,"11,292",10
Sub-Total for SFO - San Francisco,,,,,"15,665","15,641","31,306","2,048,342",130,"2,036,793",130
Sub-Total for 01/2011,,,,,"397,548","396,354","793,902","45,515,260",114,"45,493,181",114
62,02/2011,ATL - Atlanta,No,No,"33,780","33,809","67,589","4,269,600",126,"4,278,115",126
63,02/2011,ATL - Atlanta,No,Yes,202,198,400,"2,408",11,"2,387",12
Sub-Total for No,,,,,"33,982","34,007","67,989","4,272,008",125,"4,280,502",125
64,02/2011,ATL - Atlanta,Yes,Yes,210,210,420,"2,025",9,"2,021",9
Sub-Total for Yes,,,,,412,408,820,"4,433",10,"4,408",10
Sub-Total for ATL - Atlanta,,,,,"34,192","34,217","68,409","4,274,033",125,"4,282,523",125
65,02/2011,BOS - Boston,No,No,"11,011","10,965","21,976","1,313,914",119,"1,313,086",119
66,02/2011,BOS - Boston,No,Yes,946,639,"1,585","4,563",4,"3,343",5
Sub-Total for No,,,,,"11,957","11,604","23,561","1,318,477",110,"1,316,429",113
67,02/2011,BOS - Boston,Yes,Yes,642,638,"1,280","7,248",11,"7,174",11
Sub-Total for Yes,,,,,"1,588","1,277","2,865","11,811",7,"10,517",8
Sub-Total for BOS - Boston,,,,,"12,599","12,242","24,841","1,325,725",105,"1,323,603",108
68,02/2011,CLT - Charlotte,No,No,"19,266","19,301","38,567","1,897,417",98,"1,901,344",98
69,02/2011,CLT - Charlotte,No,Yes,352,367,719,"2,473",7,"2,590",7
Sub-Total for No,,,,,"19,618","19,668","39,286","1,899,890",96,"1,903,934",96
70,02/2011,CLT - Charlotte,Yes,Yes,763,769,"1,532","8,315",10,"8,332",10
Sub-Total for Yes,,,,,"1,115","1,136","2,251","10,788",9,"10,922",9
Sub-Total for CLT - Charlotte,,,,,"20,381","20,437","40,818","1,908,205",93,"1,912,266",93
71,02/2011,DEN - Denver,No,No,"23,441","23,410","46,851","2,384,469",101,"2,376,423",101
72,02/2011,DEN - Denver,No,Yes,146,137,283,"1,121",7,"1,059",7
Sub-Total for No,,,,,"23,587","23,547","47,134","2,385,590",101,"2,377,482",100
73,02/2011,DEN - Denver,Yes,Yes,196,197,393,"1,987",10,"1,978",10
Sub-Total for Yes,,,,,342,334,676,"3,108",9,"3,037",9
Sub-Total for DEN - Denver,,,,,"23,783","23,744","47,527","2,387,577",100,"2,379,460",100
74,02/2011,DFW - Dallas/Ft. Worth,No,No,"22,892","22,870","45,762","2,754,979",120,"2,755,198",120
75,02/2011,DFW - Dallas/Ft. Worth,No,Yes,166,140,306,"1,764",10,"1,476",10
Sub-Total for No,,,,,"23,058","23,010","46,068","2,756,743",119,"2,756,674",119
76,02/2011,DFW - Dallas/Ft. Worth,Yes,Yes,350,346,696,"3,726",10,"3,703",10
Sub-Total for Yes,,,,,516,486,"1,002","5,490",10,"5,179",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"23,408","23,356","46,764","2,760,469",117,"2,760,377",118
77,02/2011,DTW - Detroit,No,No,"15,312","15,240","30,552","1,473,339",96,"1,467,206",96
78,02/2011,DTW - Detroit,No,Yes,54,52,106,340,6,331,6
Sub-Total for No,,,,,"15,366","15,292","30,658","1,473,679",95,"1,467,537",95
79,02/2011,DTW - Detroit,Yes,Yes,216,218,434,"2,184",10,"2,226",10
Sub-Total for Yes,,,,,270,270,540,"2,524",9,"2,557",9
Sub-Total for DTW - Detroit,,,,,"15,582","15,510","31,092","1,475,863",94,"1,469,763",94
80,02/2011,EWR - Newark,No,No,"13,940","13,942","27,882","1,634,840",117,"1,638,777",117
81,02/2011,EWR - Newark,No,Yes,198,196,394,"1,833",9,"1,807",9
Sub-Total for No,,,,,"14,138","14,138","28,276","1,636,673",115,"1,640,584",116
82,02/2011,EWR - Newark,Yes,Yes,248,249,497,"2,828",11,"2,815",11
Sub-Total for Yes,,,,,446,445,891,"4,661",10,"4,622",10
Sub-Total for EWR - Newark,,,,,"14,386","14,387","28,773","1,639,501",113,"1,643,399",114
83,02/2011,IAH - Houston,No,No,"18,548","18,389","36,937","1,906,618",102,"1,890,671",102
84,02/2011,IAH - Houston,No,Yes,164,113,277,"1,442",8,"1,135",10
Sub-Total for No,,,,,"18,712","18,502","37,214","1,908,060",101,"1,891,806",102
85,02/2011,IAH - Houston,Yes,Yes,532,514,"1,046","5,807",10,"5,585",10
Sub-Total for Yes,,,,,696,627,"1,323","7,249",10,"6,720",10
Sub-Total for IAH - Houston,,,,,"19,244","19,016","38,260","1,913,867",99,"1,897,391",99
86,02/2011,JFK - New York,No,No,"14,462","14,437","28,899","2,366,109",163,"2,362,135",163
87,02/2011,JFK - New York,No,Yes,22,21,43,139,6,135,6
Sub-Total for No,,,,,"14,484","14,458","28,942","2,366,248",163,"2,362,270",163
88,02/2011,JFK - New York,Yes,Yes,154,156,310,"1,659",10,"1,693",10
Sub-Total for Yes,,,,,176,177,353,"1,798",10,"1,828",10
Sub-Total for JFK - New York,,,,,"14,638","14,614","29,252","2,367,907",161,"2,363,963",161
89,02/2011,LAS - Las Vegas,No,No,"13,200","13,192","26,392","1,829,144",138,"1,828,052",138
90,02/2011,LAS - Las Vegas,No,Yes,331,321,652,"2,653",8,"2,553",7
Sub-Total for No,,,,,"13,531","13,513","27,044","1,831,797",135,"1,830,605",135
91,02/2011,LAS - Las Vegas,Yes,Yes,"1,849","1,827","3,676","20,085",10,"19,816",10
Sub-Total for Yes,,,,,"2,180","2,148","4,328","22,738",10,"22,369",10
Sub-Total for LAS - Las Vegas,,,,,"15,380","15,340","30,720","1,851,882",120,"1,850,421",120
92,02/2011,LAX - Los Angeles,No,No,"20,584","20,537","41,121","2,931,826",142,"2,927,229",142
93,02/2011,LAX - Los Angeles,No,Yes,72,58,130,578,8,483,8
Sub-Total for No,,,,,"20,656","20,595","41,251","2,932,404",141,"2,927,712",142
94,02/2011,LAX - Los Angeles,Yes,Yes,880,875,"1,755","10,539",11,"10,465",11
Sub-Total for Yes,,,,,952,933,"1,885","11,117",11,"10,948",11
Sub-Total for LAX - Los Angeles,,,,,"21,536","21,470","43,006","2,942,943",136,"2,938,177",136
95,02/2011,LGA - New York,Unknown,Unknown,1,0,1,0,0,0,0
96,02/2011,LGA - New York,No,No,"13,292","13,301","26,593","1,259,741",94,"1,259,655",94
97,02/2011,LGA - New York,No,Yes,29,29,58,211,7,228,7
Sub-Total for No,,,,,"13,321","13,330","26,651","1,259,952",94,"1,259,883",94
98,02/2011,LGA - New York,Yes,Yes,300,308,608,"3,535",11,"3,634",11
Sub-Total for Yes,,,,,329,337,666,"3,746",11,"3,862",11
Sub-Total for LGA - New York,,,,,"13,622","13,638","27,260","1,263,487",92,"1,263,517",92
99,02/2011,MCO - Orlando,No,No,"11,426","11,379","22,805","1,645,995",144,"1,641,926",144
100,02/2011,MCO - Orlando,No,Yes,223,205,428,"1,143",5,"1,045",5
Sub-Total for No,,,,,"11,649","11,584","23,233","1,647,138",141,"1,642,971",141
101,02/2011,MCO - Orlando,Yes,Yes,787,783,"1,570","8,310",10,"8,314",10
Sub-Total for Yes,,,,,"1,010",988,"1,998","9,453",9,"9,359",9
Sub-Total for MCO - Orlando,,,,,"12,436","12,367","24,803","1,655,448",133,"1,651,285",133
102,02/2011,MIA - Miami,No,No,"14,295","14,285","28,580","2,219,898",155,"2,221,684",155
103,02/2011,MIA - Miami,No,Yes,231,235,466,"1,546",6,"1,637",6
Sub-Total for No,,,,,"14,526","14,520","29,046","2,221,444",152,"2,223,321",153
104,02/2011,MIA - Miami,Yes,Yes,"1,247","1,290","2,537","13,513",10,"13,938",10
Sub-Total for Yes,,,,,"1,478","1,525","3,003","15,059",10,"15,575",10
Sub-Total for MIA - Miami,,,,,"15,773","15,810","31,583","2,234,957",141,"2,237,259",141
105,02/2011,MSP - Minneapolis,No,No,"14,871","14,822","29,693","1,480,841",99,"1,476,792",99
106,02/2011,MSP - Minneapolis,No,Yes,217,213,430,"1,065",4,"1,032",4
Sub-Total for No,,,,,"15,088","15,035","30,123","1,481,906",98,"1,477,824",98
107,02/2011,MSP - Minneapolis,Yes,Yes,586,586,"1,172","6,646",11,"6,606",11
Sub-Total for Yes,,,,,803,799,"1,602","7,711",9,"7,638",9
Sub-Total for MSP - Minneapolis,,,,,"15,674","15,621","31,295","1,488,552",94,"1,484,430",95
108,02/2011,ORD - Chicago,No,No,"29,519","29,476","58,995","3,106,254",105,"3,104,674",105
109,02/2011,ORD - Chicago,No,Yes,163,159,322,"1,836",11,"1,816",11
Sub-Total for No,,,,,"29,682","29,635","59,317","3,108,090",104,"3,106,490",104
110,02/2011,ORD - Chicago,Yes,Yes,293,297,590,"3,374",11,"3,395",11
Sub-Total for Yes,,,,,456,456,912,"5,210",11,"5,211",11
Sub-Total for ORD - Chicago,,,,,"29,975","29,932","59,907","3,111,464",103,"3,109,885",103
111,02/2011,PHL - Philadelphia,No,No,"15,700","15,693","31,393","1,476,379",94,"1,478,785",94
112,02/2011,PHL - Philadelphia,No,Yes,124,116,240,829,6,783,6
Sub-Total for No,,,,,"15,824","15,809","31,633","1,477,208",93,"1,479,568",93
113,02/2011,PHL - Philadelphia,Yes,Yes,628,625,"1,253","6,916",11,"6,874",10
Sub-Total for Yes,,,,,752,741,"1,493","7,745",10,"7,657",10
Sub-Total for PHL - Philadelphia,,,,,"16,452","16,434","32,886","1,484,124",90,"1,486,442",90
114,02/2011,PHX - Phoenix,No,No,"16,291","16,031","32,322","1,992,951",122,"1,990,906",124
115,02/2011,PHX - Phoenix,No,Yes,559,406,965,"2,499",4,"1,622",3
Sub-Total for No,,,,,"16,850","16,437","33,287","1,995,450",118,"1,992,528",121
116,02/2011,PHX - Phoenix,Yes,Yes,674,675,"1,349","6,717",9,"6,727",9
Sub-Total for Yes,,,,,"1,233","1,081","2,314","9,216",7,"8,349",7
Sub-Total for PHX - Phoenix,,,,,"17,524","17,112","34,636","2,002,167",114,"1,999,255",116
117,02/2011,SEA - Seattle,No,No,"10,764","10,733","21,497","1,385,509",128,"1,379,058",128
118,02/2011,SEA - Seattle,No,Yes,93,106,199,42,0,52,0
Sub-Total for No,,,,,"10,857","10,839","21,696","1,385,551",127,"1,379,110",127
119,02/2011,SEA - Seattle,Yes,Yes,53,50,103,606,11,566,11
Sub-Total for Yes,,,,,146,156,302,648,4,618,3
Sub-Total for SEA - Seattle,,,,,"10,910","10,889","21,799","1,386,157",127,"1,379,676",126
120,02/2011,SFO - San Francisco,No,No,"13,321","13,292","26,613","1,846,049",138,"1,837,637",138
121,02/2011,SFO - San Francisco,No,Yes,118,109,227,875,7,799,7
Sub-Total for No,,,,,"13,439","13,401","26,840","1,846,924",137,"1,838,436",137
122,02/2011,SFO - San Francisco,Yes,Yes,885,910,"1,795","10,268",11,"10,554",11
Sub-Total for Yes,,,,,"1,003","1,019","2,022","11,143",11,"11,353",11
Sub-Total for SFO - San Francisco,,,,,"14,324","14,311","28,635","1,857,192",129,"1,848,990",129
Sub-Total for 02/2011,,,,,"361,819","360,447","722,266","41,331,520",114,"41,282,082",114
123,03/2011,ATL - Atlanta,No,No,"40,147","40,066","80,213","5,063,722",126,"5,054,951",126
124,03/2011,ATL - Atlanta,No,Yes,255,260,515,"3,000",11,"3,037",11
Sub-Total for No,,,,,"40,402","40,326","80,728","5,066,722",125,"5,057,988",125
125,03/2011,ATL - Atlanta,Yes,Yes,235,234,469,"2,325",9,"2,309",9
Sub-Total for Yes,,,,,490,494,984,"5,325",10,"5,346",10
Sub-Total for ATL - Atlanta,,,,,"40,637","40,560","81,197","5,069,047",124,"5,060,297",124
126,03/2011,BOS - Boston,No,No,"13,463","13,410","26,873","1,601,425",118,"1,604,144",119
127,03/2011,BOS - Boston,No,Yes,"1,201",910,"2,111","5,601",4,"4,430",4
Sub-Total for No,,,,,"14,664","14,320","28,984","1,607,026",109,"1,608,574",112
128,03/2011,BOS - Boston,Yes,Yes,758,774,"1,532","8,379",11,"8,562",11
Sub-Total for Yes,,,,,"1,959","1,684","3,643","13,980",7,"12,992",7
Sub-Total for BOS - Boston,,,,,"15,422","15,094","30,516","1,615,405",104,"1,617,136",107
129,03/2011,CLT - Charlotte,No,No,"22,303","22,201","44,504","2,161,737",96,"2,155,419",97
130,03/2011,CLT - Charlotte,No,Yes,407,420,827,"2,851",7,"2,951",7
Sub-Total for No,,,,,"22,710","22,621","45,331","2,164,588",95,"2,158,370",95
131,03/2011,CLT - Charlotte,Yes,Yes,858,867,"1,725","9,297",10,"9,425",10
Sub-Total for Yes,,,,,"1,265","1,287","2,552","12,148",9,"12,376",9
Sub-Total for CLT - Charlotte,,,,,"23,568","23,488","47,056","2,173,885",92,"2,167,795",92
132,03/2011,DEN - Denver,No,No,"27,226","27,202","54,428","2,760,032",101,"2,755,892",101
133,03/2011,DEN - Denver,No,Yes,177,162,339,"1,325",7,"1,255",7
Sub-Total for No,,,,,"27,403","27,364","54,767","2,761,357",100,"2,757,147",100
134,03/2011,DEN - Denver,Yes,Yes,213,210,423,"2,319",10,"2,271",10
Sub-Total for Yes,,,,,390,372,762,"3,644",9,"3,526",9
Sub-Total for DEN - Denver,,,,,"27,616","27,574","55,190","2,763,676",100,"2,759,418",100
135,03/2011,DFW - Dallas/Ft. Worth,No,No,"27,756","27,665","55,421","3,284,586",118,"3,276,464",118
136,03/2011,DFW - Dallas/Ft. Worth,No,Yes,192,164,356,"2,138",11,"1,854",11
Sub-Total for No,,,,,"27,948","27,829","55,777","3,286,724",117,"3,278,318",117
137,03/2011,DFW - Dallas/Ft. Worth,Yes,Yes,249,249,498,"2,606",10,"2,606",10
Sub-Total for Yes,,,,,441,413,854,"4,744",10,"4,460",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"28,197","28,078","56,275","3,289,330",116,"3,280,924",116
138,03/2011,DTW - Detroit,No,No,"19,034","18,953","37,987","1,807,013",94,"1,803,435",95
139,03/2011,DTW - Detroit,No,Yes,74,71,145,474,6,470,6
Sub-Total for No,,,,,"19,108","19,024","38,132","1,807,487",94,"1,803,905",94
140,03/2011,DTW - Detroit,Yes,Yes,243,242,485,"2,592",10,"2,564",10
Sub-Total for Yes,,,,,317,313,630,"3,066",9,"3,034",9
Sub-Total for DTW - Detroit,,,,,"19,351","19,266","38,617","1,810,079",93,"1,806,469",93
141,03/2011,EWR - Newark,No,No,"17,343","17,354","34,697","2,027,774",116,"2,030,147",116
142,03/2011,EWR - Newark,No,Yes,262,267,529,"2,424",9,"2,442",9
Sub-Total for No,,,,,"17,605","17,621","35,226","2,030,198",115,"2,032,589",115
143,03/2011,EWR - Newark,Yes,Yes,271,271,542,"3,006",11,"3,006",11
Sub-Total for Yes,,,,,533,538,"1,071","5,430",10,"5,448",10
Sub-Total for EWR - Newark,,,,,"17,876","17,892","35,768","2,033,204",113,"2,035,595",113
144,03/2011,IAH - Houston,No,No,"22,540","22,397","44,937","2,306,957",102,"2,293,444",102
145,03/2011,IAH - Houston,No,Yes,226,156,382,"1,861",8,"1,465",9
Sub-Total for No,,,,,"22,766","22,553","45,319","2,308,818",101,"2,294,909",101
146,03/2011,IAH - Houston,Yes,Yes,545,552,"1,097","6,002",11,"6,124",11
Sub-Total for Yes,,,,,771,708,"1,479","7,863",10,"7,589",10
Sub-Total for IAH - Houston,,,,,"23,311","23,105","46,416","2,314,820",99,"2,301,033",99
147,03/2011,JFK - New York,No,No,"17,228","17,261","34,489","2,826,063",164,"2,826,576",163
148,03/2011,JFK - New York,No,Yes,25,23,48,177,7,155,6
Sub-Total for No,,,,,"17,253","17,284","34,537","2,826,240",163,"2,826,731",163
149,03/2011,JFK - New York,Yes,Yes,203,202,405,"2,143",10,"2,116",10
Sub-Total for Yes,,,,,228,225,453,"2,320",10,"2,271",10
Sub-Total for JFK - New York,,,,,"17,456","17,486","34,942","2,828,383",162,"2,828,847",161
150,03/2011,LAS - Las Vegas,No,No,"15,612","15,614","31,226","2,156,765",138,"2,156,471",138
151,03/2011,LAS - Las Vegas,No,Yes,448,440,888,"3,446",7,"3,389",7
Sub-Total for No,,,,,"16,060","16,054","32,114","2,160,211",134,"2,159,860",134
152,03/2011,LAS - Las Vegas,Yes,Yes,"2,228","2,234","4,462","23,980",10,"23,974",10
Sub-Total for Yes,,,,,"2,676","2,674","5,350","27,426",10,"27,363",10
Sub-Total for LAS - Las Vegas,,,,,"18,288","18,288","36,576","2,184,191",119,"2,183,834",119
153,03/2011,LAX - Los Angeles,No,No,"23,964","23,897","47,861","3,408,439",142,"3,401,852",142
154,03/2011,LAX - Los Angeles,No,Yes,72,64,136,555,7,503,7
Sub-Total for No,,,,,"24,036","23,961","47,997","3,408,994",141,"3,402,355",141
155,03/2011,LAX - Los Angeles,Yes,Yes,759,760,"1,519","8,746",11,"8,779",11
Sub-Total for Yes,,,,,831,824,"1,655","9,301",11,"9,282",11
Sub-Total for LAX - Los Angeles,,,,,"24,795","24,721","49,516","3,417,740",137,"3,411,134",137
156,03/2011,LGA - New York,No,No,"15,952","16,012","31,964","1,503,118",94,"1,508,698",94
157,03/2011,LGA - New York,No,Yes,48,56,104,366,7,415,7
