Date,Facility,Total_ops,Total Delays,TMI_to,Dep,Abrn,TMI_from_local,TMI_from_non_local,Total_occ_at,Total_local_dep,Abrn_dest_to_Delays,Class_AC,Class_AT,Class_GA,Class_Mil,Cause_Wx,Cause_Vol,Cause_Equip,Cause_Rwy,Cause_Other,Avg_delay_time,Total_delay_time
01/03/2011,MSP,1215,3,3,0,0,0,5,5,0,16,2,1,0,0,3,0,0,0,0,31,93
01/03/2011,ORD,2466,1,1,0,0,0,9,9,0,0,0,1,0,0,0,1,0,0,0,19,19
01/03/2011,PHL,1274,6,6,0,0,2,4,6,2,0,6,0,0,0,0,6,0,0,0,22,132
01/03/2011,PHX,1410,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2011,SEA,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2011,SFO,1143,4,0,4,0,0,6,10,4,2,4,0,0,0,0,4,0,0,0,18,72
Sub-Total for 01/03/2011,,28581,208,204,4,0,5,80,89,9,32,118,83,7,0,151,57,0,0,0,39.96,8311
01/04/2011,ATL,2592,2,2,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,29,58
01/04/2011,BOS,1007,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/2011,CLT,1537,5,5,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,19,95
01/04/2011,DEN,1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/2011,DFW,1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/2011,DTW,1231,6,0,6,0,0,4,10,6,3,6,0,0,0,6,0,0,0,0,16,96
01/04/2011,EWR,1183,4,4,0,0,0,0,0,0,0,1,3,0,0,0,4,0,0,0,19,76
01/04/2011,IAH,1350,44,2,42,0,0,0,42,42,0,43,1,0,0,43,1,0,0,0,19,836
01/04/2011,JFK,1164,25,1,24,0,8,0,32,32,0,25,0,0,0,0,25,0,0,0,20,500
01/04/2011,LAS,1423,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/2011,LAX,1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/2011,LGA,1180,28,28,0,0,0,0,0,0,3,17,11,0,0,0,28,0,0,0,27,756
01/04/2011,MCO,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/2011,MIA,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/2011,MSP,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/2011,ORD,2415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/2011,PHL,1296,5,4,1,0,0,4,5,1,0,4,1,0,0,0,5,0,0,0,23,115
