Date,Facility,Air_Carrier,Air_Taxi,General_Aviation,Military,Total operation
05/23/2013,MCO,732,49,52,0,833
05/23/2013,MIA,851,195,46,8,"1,100"
05/23/2013,MSP,812,407,51,16,"1,286"
05/23/2013,ORD,"1,519","1,087",21,0,"2,627"
05/23/2013,PHL,689,386,30,0,"1,105"
05/23/2013,PHX,"1,011",217,80,11,"1,319"
05/23/2013,SEA,855,48,7,0,910
05/23/2013,SFO,921,250,44,7,"1,222"
Sub-Total for 05/23/2013,,"20,042","7,510",884,59,"28,495"
05/24/2013,ATL,"2,119",524,26,2,"2,671"
05/24/2013,BOS,832,306,24,4,"1,166"
05/24/2013,CLT,"1,022",507,73,0,"1,602"
05/24/2013,DEN,"1,263",508,13,0,"1,784"
05/24/2013,DFW,"1,230",616,12,3,"1,861"
05/24/2013,DTW,670,609,20,0,"1,299"
05/24/2013,EWR,835,373,34,0,"1,242"
05/24/2013,IAH,861,651,30,3,"1,545"
05/24/2013,JFK,"1,014",140,41,0,"1,195"
05/24/2013,LAS,"1,011",449,142,1,"1,603"
05/24/2013,LAX,"1,442",281,57,8,"1,788"
05/24/2013,LGA,925,201,13,0,"1,139"
05/24/2013,MCO,782,50,35,0,867
05/24/2013,MIA,858,213,63,5,"1,139"
05/24/2013,MSP,827,396,32,2,"1,257"
05/24/2013,ORD,"1,575","1,110",23,0,"2,708"
05/24/2013,PHL,735,470,45,2,"1,252"
05/24/2013,PHX,"1,021",211,49,4,"1,285"
05/24/2013,SEA,863,51,13,0,927
05/24/2013,SFO,944,250,41,11,"1,246"
Sub-Total for 05/24/2013,,"20,829","7,916",786,45,"29,576"
05/25/2013,ATL,"1,726",381,13,0,"2,120"
05/25/2013,BOS,618,158,27,2,805
05/25/2013,CLT,943,491,42,3,"1,479"
05/25/2013,DEN,926,350,5,0,"1,281"
05/25/2013,DFW,"1,084",556,10,0,"1,650"
05/25/2013,DTW,497,343,8,0,848
05/25/2013,EWR,695,270,14,0,979
05/25/2013,IAH,712,499,8,0,"1,219"
05/25/2013,JFK,966,129,13,0,"1,108"
05/25/2013,LAS,741,400,148,1,"1,290"
05/25/2013,LAX,"1,198",207,20,2,"1,427"
05/25/2013,LGA,570,98,13,1,682
05/25/2013,MCO,733,16,28,0,777
05/25/2013,MIA,826,167,13,1,"1,007"
05/25/2013,MSP,598,251,10,0,859
05/25/2013,ORD,"1,231",792,18,0,"2,041"
05/25/2013,PHL,617,411,26,0,"1,054"
05/25/2013,PHX,772,150,16,1,939
05/25/2013,SEA,734,39,12,0,785
05/25/2013,SFO,773,211,11,4,999
Sub-Total for 05/25/2013,,"16,960","5,919",455,15,"23,349"
05/26/2013,ATL,"1,714",357,10,0,"2,081"
05/26/2013,BOS,596,165,15,1,777
05/26/2013,CLT,946,492,33,0,"1,471"
05/26/2013,DEN,950,362,7,0,"1,319"
05/26/2013,DFW,"1,029",501,11,0,"1,541"
05/26/2013,DTW,480,301,16,1,798
05/26/2013,EWR,632,216,10,0,858
05/26/2013,IAH,709,481,6,0,"1,196"
05/26/2013,JFK,945,124,10,0,"1,079"
05/26/2013,LAS,840,375,109,0,"1,324"
05/26/2013,LAX,"1,199",213,37,5,"1,454"
05/26/2013,LGA,563,126,6,0,695
05/26/2013,MCO,688,31,35,0,754
05/26/2013,MIA,772,155,34,1,962
05/26/2013,MSP,589,253,7,3,852
05/26/2013,ORD,"1,188",796,9,2,"1,995"
05/26/2013,PHL,519,393,24,0,936
05/26/2013,PHX,787,137,25,1,951
05/26/2013,SEA,744,30,2,0,776
05/26/2013,SFO,770,215,18,0,"1,003"
Sub-Total for 05/26/2013,,"16,660","5,723",424,14,"22,822"
05/27/2013,ATL,"1,969",471,6,0,"2,446"
05/27/2013,BOS,731,321,13,4,"1,069"
05/27/2013,CLT,"1,017",486,53,0,"1,556"
05/27/2013,DEN,"1,159",463,13,0,"1,635"
05/27/2013,DFW,"1,274",644,10,0,"1,928"
05/27/2013,DTW,587,465,14,0,"1,066"
05/27/2013,EWR,759,341,29,2,"1,131"
05/27/2013,IAH,780,600,16,0,"1,396"
05/27/2013,JFK,962,130,31,6,"1,129"
05/27/2013,LAS,937,420,152,1,"1,510"
