Date,Facility,Air_Carrier,Air_Taxi,General_Aviation,Military,Total operation
02/10/2011,CLT,961,486,98,13,"1,558"
02/10/2011,DEN,"1,298",473,5,0,"1,776"
02/10/2011,DFW,"1,347",511,24,4,"1,886"
02/10/2011,DTW,531,675,25,0,"1,231"
02/10/2011,EWR,801,373,26,5,"1,205"
02/10/2011,IAH,764,754,29,2,"1,549"
02/10/2011,JFK,896,170,12,2,"1,080"
02/10/2011,LAS,987,263,114,3,"1,367"
02/10/2011,LAX,"1,245",290,74,9,"1,618"
02/10/2011,LGA,758,419,34,2,"1,213"
02/10/2011,MCO,798,51,44,0,893
02/10/2011,MIA,901,214,84,3,"1,202"
02/10/2011,MSP,772,419,53,8,"1,252"
02/10/2011,ORD,"1,482",951,32,0,"2,465"
02/10/2011,PHL,758,491,54,1,"1,304"
02/10/2011,PHX,"1,063",191,78,12,"1,344"
02/10/2011,SEA,773,42,7,1,823
02/10/2011,SFO,784,274,49,12,"1,119"
Sub-Total for 02/10/2011,,"19,310","8,174",950,84,"28,518"
02/11/2011,ATL,"1,922",639,19,0,"2,580"
02/11/2011,BOS,532,481,59,4,"1,076"
02/11/2011,CLT,966,491,89,2,"1,548"
02/11/2011,DEN,"1,297",487,8,0,"1,792"
02/11/2011,DFW,"1,311",498,26,0,"1,835"
02/11/2011,DTW,538,686,13,0,"1,237"
02/11/2011,EWR,795,371,35,0,"1,201"
02/11/2011,IAH,771,730,46,0,"1,547"
02/11/2011,JFK,935,170,22,2,"1,129"
02/11/2011,LAS,962,282,132,7,"1,383"
02/11/2011,LAX,"1,236",290,68,6,"1,600"
02/11/2011,LGA,753,422,15,0,"1,190"
02/11/2011,MCO,795,48,52,5,900
02/11/2011,MIA,899,186,74,5,"1,164"
02/11/2011,MSP,765,408,34,6,"1,213"
02/11/2011,ORD,"1,473",942,20,0,"2,435"
02/11/2011,PHL,761,498,37,6,"1,302"
02/11/2011,PHX,"1,051",192,62,7,"1,312"
02/11/2011,SEA,766,40,2,0,808
02/11/2011,SFO,782,270,36,3,"1,091"
Sub-Total for 02/11/2011,,"19,310","8,131",849,53,"28,343"
02/12/2011,ATL,"1,647",453,8,0,"2,108"
02/12/2011,BOS,394,329,14,0,737
02/12/2011,CLT,806,474,31,4,"1,315"
02/12/2011,DEN,"1,057",329,12,0,"1,398"
02/12/2011,DFW,"1,173",430,11,0,"1,614"
02/12/2011,DTW,446,519,7,0,972
02/12/2011,EWR,615,213,11,0,839
02/12/2011,IAH,678,494,16,1,"1,189"
02/12/2011,JFK,865,168,4,0,"1,037"
02/12/2011,LAS,751,342,83,7,"1,183"
02/12/2011,LAX,"1,108",238,39,6,"1,391"
02/12/2011,LGA,483,83,10,0,576
02/12/2011,MCO,815,35,37,4,891
02/12/2011,MIA,855,166,45,1,"1,067"
02/12/2011,MSP,637,294,10,2,943
02/12/2011,ORD,"1,204",744,13,0,"1,961"
02/12/2011,PHL,589,395,8,3,995
02/12/2011,PHX,882,127,52,8,"1,071"
02/12/2011,SEA,646,25,5,0,676
02/12/2011,SFO,678,192,30,15,915
Sub-Total for 02/12/2011,,"16,329","6,050",446,51,"22,878"
02/13/2011,ATL,"1,825",592,10,0,"2,427"
02/13/2011,BOS,428,402,38,5,873
02/13/2011,CLT,906,469,51,0,"1,426"
02/13/2011,DEN,"1,218",411,15,0,"1,644"
02/13/2011,DFW,"1,274",464,2,0,"1,740"
02/13/2011,DTW,486,572,2,0,"1,060"
02/13/2011,EWR,694,300,10,0,"1,004"
02/13/2011,IAH,728,650,28,0,"1,406"
02/13/2011,JFK,905,169,15,0,"1,089"
02/13/2011,LAS,937,340,130,7,"1,414"
02/13/2011,LAX,"1,193",292,43,4,"1,532"
02/13/2011,LGA,639,298,18,0,955
02/13/2011,MCO,797,43,44,1,885
02/13/2011,MIA,856,159,64,2,"1,081"
02/13/2011,MSP,722,349,15,4,"1,090"
02/13/2011,ORD,"1,369",921,14,0,"2,304"
02/13/2011,PHL,676,467,28,0,"1,171"
02/13/2011,PHX,"1,001",135,46,4,"1,186"
02/13/2011,SEA,731,22,3,0,756
02/13/2011,SFO,758,240,24,13,"1,035"
Sub-Total for 02/13/2011,,"18,143","7,295",600,40,"26,078"
02/14/2011,ATL,"1,869",630,12,0,"2,511"
02/14/2011,BOS,501,448,44,0,993
02/14/2011,CLT,965,484,56,5,"1,510"
02/14/2011,DEN,"1,300",453,10,2,"1,765"
02/14/2011,DFW,"1,312",488,8,0,"1,808"
02/14/2011,DTW,505,685,17,0,"1,207"
02/14/2011,EWR,738,332,26,6,"1,102"
02/14/2011,IAH,744,729,32,0,"1,505"
02/14/2011,JFK,883,164,20,2,"1,069"
02/14/2011,LAS,940,316,100,5,"1,361"
02/14/2011,LAX,"1,192",285,44,11,"1,532"
02/14/2011,LGA,713,410,11,2,"1,136"
02/14/2011,MCO,783,38,38,1,860
02/14/2011,MIA,851,179,56,5,"1,091"
02/14/2011,MSP,743,379,40,5,"1,167"
02/14/2011,ORD,"1,476",972,14,0,"2,462"
02/14/2011,PHL,723,468,21,1,"1,213"
02/14/2011,PHX,"1,034",173,50,7,"1,264"
02/14/2011,SEA,749,36,4,0,789
02/14/2011,SFO,702,191,20,17,930
Sub-Total for 02/14/2011,,"18,723","7,860",623,69,"27,275"
02/15/2011,ATL,"1,898",631,27,2,"2,558"
02/15/2011,BOS,509,465,39,1,"1,014"
02/15/2011,CLT,958,500,96,10,"1,564"
02/15/2011,DEN,"1,269",480,7,0,"1,756"
02/15/2011,DFW,"1,326",495,31,0,"1,852"
02/15/2011,DTW,503,682,22,0,"1,207"
02/15/2011,EWR,780,361,54,8,"1,203"
02/15/2011,IAH,682,615,51,0,"1,348"
02/15/2011,JFK,858,164,24,0,"1,046"
02/15/2011,LAS,877,307,127,1,"1,312"
02/15/2011,LAX,"1,178",271,66,2,"1,517"
02/15/2011,LGA,716,397,8,0,"1,121"
02/15/2011,MCO,742,48,54,2,846
02/15/2011,MIA,862,168,84,1,"1,115"
02/15/2011,MSP,739,403,57,13,"1,212"
02/15/2011,ORD,"1,420",963,24,0,"2,407"
02/15/2011,PHL,739,465,50,0,"1,254"
02/15/2011,PHX,"1,015",198,80,5,"1,301"
02/15/2011,SEA,747,40,5,0,792
02/15/2011,SFO,727,235,39,16,"1,017"
Sub-Total for 02/15/2011,,"18,545","7,888",945,61,"27,442"
02/16/2011,ATL,"1,912",630,20,1,"2,563"
02/16/2011,BOS,500,454,64,3,"1,021"
02/16/2011,CLT,955,480,87,11,"1,533"
02/16/2011,DEN,"1,296",467,8,0,"1,771"
02/16/2011,DFW,"1,337",494,13,0,"1,844"
02/16/2011,DTW,518,685,28,1,"1,232"
02/16/2011,EWR,794,359,37,0,"1,190"
02/16/2011,IAH,704,614,47,2,"1,367"
02/16/2011,JFK,866,163,21,1,"1,051"
02/16/2011,LAS,858,268,113,1,"1,240"
02/16/2011,LAX,"1,215",273,65,7,"1,560"
02/16/2011,LGA,740,430,17,1,"1,188"
02/16/2011,MCO,760,56,57,9,882
02/16/2011,MIA,867,199,85,4,"1,155"
02/16/2011,MSP,759,415,90,14,"1,278"
02/16/2011,ORD,"1,465",925,25,0,"2,415"
02/16/2011,PHL,749,495,72,0,"1,316"
02/16/2011,PHX,"1,033",193,62,7,"1,295"
02/16/2011,SEA,755,39,3,1,798
02/16/2011,SFO,753,262,28,17,"1,060"
Sub-Total for 02/16/2011,,"18,836","7,901",942,80,"27,759"
02/17/2011,ATL,"1,951",617,21,0,"2,589"
02/17/2011,BOS,541,494,56,5,"1,096"
02/17/2011,CLT,963,514,101,11,"1,589"
02/17/2011,DEN,"1,344",491,13,0,"1,848"
02/17/2011,DFW,"1,355",501,23,0,"1,879"
02/17/2011,DTW,519,706,35,0,"1,260"
02/17/2011,EWR,838,357,29,0,"1,224"
02/17/2011,IAH,804,725,40,0,"1,569"
02/17/2011,JFK,930,175,14,0,"1,119"
02/17/2011,LAS,991,291,129,3,"1,414"
02/17/2011,LAX,"1,252",307,83,8,"1,650"
02/17/2011,LGA,748,433,19,0,"1,200"
02/17/2011,MCO,846,51,96,14,"1,007"
02/17/2011,MIA,894,221,116,6,"1,237"
02/17/2011,MSP,807,397,61,8,"1,273"
02/17/2011,ORD,"1,454",936,18,0,"2,408"
02/17/2011,PHL,767,512,66,0,"1,345"
02/17/2011,PHX,"1,103",192,110,14,"1,419"
02/17/2011,SEA,777,38,4,1,820
02/17/2011,SFO,695,186,26,26,933
Sub-Total for 02/17/2011,,"19,579","8,144","1,060",96,"28,879"
02/18/2011,ATL,"2,004",604,25,0,"2,633"
02/18/2011,BOS,546,490,50,1,"1,087"
02/18/2011,CLT,967,509,95,2,"1,573"
02/18/2011,DEN,"1,342",501,23,2,"1,868"
02/18/2011,DFW,"1,342",508,23,1,"1,874"
02/18/2011,DTW,515,731,14,0,"1,260"
02/18/2011,EWR,848,332,32,0,"1,212"
02/18/2011,IAH,813,723,52,0,"1,588"
02/18/2011,JFK,989,165,29,0,"1,183"
02/18/2011,LAS,998,310,141,12,"1,461"
02/18/2011,LAX,"1,237",284,81,0,"1,602"
02/18/2011,LGA,761,440,15,2,"1,218"
02/18/2011,MCO,837,44,71,4,956
02/18/2011,MIA,913,211,123,4,"1,251"
02/18/2011,MSP,802,409,68,8,"1,287"
02/18/2011,ORD,"1,523","1,016",27,0,"2,566"
02/18/2011,PHL,761,491,54,0,"1,306"
02/18/2011,PHX,"1,124",216,83,11,"1,434"
02/18/2011,SEA,783,36,8,0,827
02/18/2011,SFO,826,231,27,18,"1,102"
Sub-Total for 02/18/2011,,"19,931","8,251","1,041",65,"29,288"
02/19/2011,ATL,"1,699",450,25,1,"2,175"
02/19/2011,BOS,436,320,11,0,767
02/19/2011,CLT,817,480,24,0,"1,321"
02/19/2011,DEN,"1,194",391,6,0,"1,591"
02/19/2011,DFW,"1,126",399,9,2,"1,536"
02/19/2011,DTW,473,527,6,0,"1,006"
02/19/2011,EWR,704,213,8,0,925
02/19/2011,IAH,724,553,16,0,"1,293"
02/19/2011,JFK,922,152,12,0,"1,086"
02/19/2011,LAS,775,170,65,4,"1,014"
02/19/2011,LAX,"1,156",267,30,2,"1,455"
02/19/2011,LGA,514,91,12,0,617
02/19/2011,MCO,859,37,39,3,938
02/19/2011,MIA,868,167,65,0,"1,100"
02/19/2011,MSP,672,288,9,3,972
02/19/2011,ORD,"1,302",771,17,0,"2,090"
02/19/2011,PHL,618,391,17,0,"1,026"
02/19/2011,PHX,953,127,37,7,"1,124"
02/19/2011,SEA,676,28,22,1,727
02/19/2011,SFO,711,225,15,4,955
Sub-Total for 02/19/2011,,"17,199","6,047",445,27,"23,718"
02/20/2011,ATL,"1,730",442,12,1,"2,185"
02/20/2011,BOS,447,368,22,0,837
02/20/2011,CLT,888,463,65,2,"1,418"
02/20/2011,DEN,"1,236",367,14,0,"1,617"
02/20/2011,DFW,"1,166",437,7,0,"1,610"
02/20/2011,DTW,396,312,9,0,717
02/20/2011,EWR,720,275,9,2,"1,006"
02/20/2011,IAH,744,667,17,0,"1,428"
02/20/2011,JFK,969,161,15,0,"1,145"
02/20/2011,LAS,930,205,117,2,"1,254"
02/20/2011,LAX,"1,189",299,41,4,"1,533"
02/20/2011,LGA,553,291,9,0,853
02/20/2011,MCO,826,44,74,0,944
02/20/2011,MIA,850,155,57,0,"1,062"
02/20/2011,MSP,227,43,25,0,295
02/20/2011,ORD,"1,302",682,7,0,"1,991"
02/20/2011,PHL,655,488,25,2,"1,170"
02/20/2011,PHX,"1,004",127,34,3,"1,168"
02/20/2011,SEA,732,27,5,1,765
02/20/2011,SFO,741,238,45,6,"1,030"
Sub-Total for 02/20/2011,,"17,305","6,091",609,23,"24,028"
02/21/2011,ATL,"1,917",564,29,0,"2,510"
02/21/2011,BOS,492,408,32,3,935
02/21/2011,CLT,947,480,59,1,"1,487"
02/21/2011,DEN,"1,309",448,34,0,"1,791"
02/21/2011,DFW,"1,299",469,20,0,"1,788"
02/21/2011,DTW,459,493,24,0,976
02/21/2011,EWR,743,261,15,0,"1,019"
02/21/2011,IAH,773,710,41,1,"1,525"
02/21/2011,JFK,936,151,3,0,"1,090"
02/21/2011,LAS,925,335,115,0,"1,375"
02/21/2011,LAX,"1,252",306,86,0,"1,644"
02/21/2011,LGA,627,354,10,0,991
02/21/2011,MCO,815,40,65,10,930
02/21/2011,MIA,861,205,68,2,"1,136"
02/21/2011,MSP,652,290,50,1,993
02/21/2011,ORD,"1,367",707,9,0,"2,083"
02/21/2011,PHL,691,428,37,0,"1,156"
02/21/2011,PHX,"1,081",175,75,3,"1,334"
02/21/2011,SEA,753,35,11,0,799
02/21/2011,SFO,777,243,25,6,"1,051"
Sub-Total for 02/21/2011,,"18,676","7,102",808,27,"26,613"
02/22/2011,ATL,"1,995",611,9,7,"2,622"
02/22/2011,BOS,543,464,54,1,"1,062"
02/22/2011,CLT,960,503,81,11,"1,555"
02/22/2011,DEN,"1,325",488,14,0,"1,827"
02/22/2011,DFW,"1,329",497,9,0,"1,835"
02/22/2011,DTW,528,680,21,0,"1,229"
02/22/2011,EWR,834,330,33,3,"1,200"
02/22/2011,IAH,794,722,56,2,"1,574"
02/22/2011,JFK,940,165,26,1,"1,132"
02/22/2011,LAS,901,326,111,3,"1,341"
02/22/2011,LAX,"1,235",285,54,4,"1,578"
02/22/2011,LGA,736,434,17,0,"1,187"
02/22/2011,MCO,850,53,69,0,972
02/22/2011,MIA,886,207,80,4,"1,177"
02/22/2011,MSP,778,411,65,9,"1,263"
02/22/2011,ORD,"1,467",983,19,0,"2,469"
02/22/2011,PHL,757,468,45,5,"1,275"
02/22/2011,PHX,"1,087",195,61,4,"1,347"
02/22/2011,SEA,777,38,5,2,822
02/22/2011,SFO,765,249,42,10,"1,066"
Sub-Total for 02/22/2011,,"19,487","8,109",871,66,"28,533"
02/23/2011,ATL,"2,003",600,33,1,"2,637"
02/23/2011,BOS,520,478,81,1,"1,080"
02/23/2011,CLT,954,515,91,6,"1,566"
02/23/2011,DEN,"1,325",502,16,0,"1,843"
02/23/2011,DFW,"1,349",506,14,0,"1,869"
02/23/2011,DTW,525,737,31,0,"1,293"
02/23/2011,EWR,841,350,27,4,"1,222"
02/23/2011,IAH,743,588,55,2,"1,388"
02/23/2011,JFK,934,171,19,0,"1,124"
02/23/2011,LAS,916,332,113,2,"1,363"
02/23/2011,LAX,"1,235",299,50,10,"1,594"
02/23/2011,LGA,746,436,17,1,"1,200"
02/23/2011,MCO,821,43,79,0,943
02/23/2011,MIA,887,180,57,0,"1,124"
02/23/2011,MSP,797,419,53,7,"1,276"
02/23/2011,ORD,"1,499",997,9,1,"2,506"
02/23/2011,PHL,756,484,44,5,"1,289"
02/23/2011,PHX,"1,058",194,96,5,"1,353"
02/23/2011,SEA,746,39,3,0,788
02/23/2011,SFO,775,259,36,11,"1,081"
Sub-Total for 02/23/2011,,"19,430","8,129",924,56,"28,539"
02/24/2011,ATL,"1,983",611,15,2,"2,611"
02/24/2011,BOS,531,475,59,3,"1,068"
02/24/2011,CLT,967,507,79,13,"1,566"
02/24/2011,DEN,"1,327",483,18,0,"1,828"
02/24/2011,DFW,"1,350",454,23,0,"1,827"
02/24/2011,DTW,520,708,14,0,"1,242"
02/24/2011,EWR,849,347,30,0,"1,226"
02/24/2011,IAH,790,719,53,1,"1,563"
02/24/2011,JFK,968,175,15,1,"1,159"
02/24/2011,LAS,"1,004",334,113,4,"1,455"
02/24/2011,LAX,"1,280",304,59,6,"1,649"
02/24/2011,LGA,740,422,16,1,"1,179"
02/24/2011,MCO,855,43,64,3,965
02/24/2011,MIA,897,195,76,5,"1,173"
02/24/2011,MSP,793,416,47,13,"1,269"
02/24/2011,ORD,"1,511","1,009",19,0,"2,539"
02/24/2011,PHL,774,489,56,0,"1,319"
02/24/2011,PHX,"1,065",208,79,5,"1,357"
02/24/2011,SEA,799,42,5,0,846
02/24/2011,SFO,767,247,33,13,"1,060"
Sub-Total for 02/24/2011,,"19,770","8,188",873,70,"28,901"
02/25/2011,ATL,"1,945",607,28,2,"2,582"
02/25/2011,BOS,511,348,21,0,880
02/25/2011,CLT,942,487,77,3,"1,509"
02/25/2011,DEN,"1,325",487,14,0,"1,826"
02/25/2011,DFW,"1,327",489,28,2,"1,846"
02/25/2011,DTW,516,609,10,0,"1,135"
02/25/2011,EWR,753,212,10,0,975
02/25/2011,IAH,805,676,40,0,"1,521"
02/25/2011,JFK,922,104,9,0,"1,035"
02/25/2011,LAS,970,333,109,12,"1,424"
02/25/2011,LAX,"1,251",308,66,0,"1,625"
02/25/2011,LGA,617,292,7,0,916
02/25/2011,MCO,808,44,63,6,921
02/25/2011,MIA,916,189,79,2,"1,186"
02/25/2011,MSP,782,385,44,11,"1,222"
02/25/2011,ORD,"1,465",950,38,1,"2,454"
02/25/2011,PHL,687,316,30,0,"1,033"
02/25/2011,PHX,"1,061",196,61,4,"1,322"
02/25/2011,SEA,770,38,10,0,818
02/25/2011,SFO,802,243,33,6,"1,084"
Sub-Total for 02/25/2011,,"19,175","7,313",777,49,"27,314"
02/26/2011,ATL,"1,735",443,11,2,"2,191"
02/26/2011,BOS,447,340,22,4,813
02/26/2011,CLT,829,487,32,0,"1,348"
02/26/2011,DEN,"1,183",386,10,0,"1,579"
02/26/2011,DFW,"1,199",429,6,2,"1,636"
02/26/2011,DTW,485,530,10,0,"1,025"
02/26/2011,EWR,712,220,17,1,950
02/26/2011,IAH,718,525,16,2,"1,261"
02/26/2011,JFK,980,164,15,0,"1,159"
02/26/2011,LAS,787,207,100,2,"1,096"
02/26/2011,LAX,"1,158",257,46,1,"1,462"
02/26/2011,LGA,539,82,6,0,627
02/26/2011,MCO,868,42,69,3,982
02/26/2011,MIA,884,167,66,0,"1,117"
02/26/2011,MSP,676,298,3,2,979
02/26/2011,ORD,"1,321",812,13,0,"2,146"
02/26/2011,PHL,630,400,26,0,"1,056"
02/26/2011,PHX,919,129,57,5,"1,110"
02/26/2011,SEA,676,27,10,0,713
02/26/2011,SFO,695,230,38,9,972
Sub-Total for 02/26/2011,,"17,441","6,175",573,33,"24,222"
02/27/2011,ATL,"1,891",563,19,1,"2,474"
02/27/2011,BOS,474,387,22,0,883
02/27/2011,CLT,915,472,42,0,"1,429"
02/27/2011,DEN,"1,267",402,6,0,"1,675"
02/27/2011,DFW,"1,234",459,6,0,"1,699"
02/27/2011,DTW,472,601,11,0,"1,084"
02/27/2011,EWR,752,282,14,0,"1,048"
02/27/2011,IAH,759,649,18,0,"1,426"
02/27/2011,JFK,969,170,17,0,"1,156"
02/27/2011,LAS,946,265,158,5,"1,374"
02/27/2011,LAX,"1,201",286,42,6,"1,535"
02/27/2011,LGA,628,317,16,0,961
02/27/2011,MCO,842,57,60,1,960
